text,label,hate,description,age,question_usefulness,safety_status,harm_type,policy_tag,subtype
ভারত সরকারকে চরম মূল্য দিতে হবে,Geopolitical,yes,Threatening statement toward a national government,18,Not useful as question,unsafe,Threats,S6,Political threat
ভারত মানে হচ্ছে সার্থপর,Geopolitical,yes,Negative national stereotyping,18,Not useful as question,unsafe,Hate speech,S8,National stereotyping
এই মাদারচোদ ভালো কোরে দেক শুয়োর,Personal,yes,Direct personal insult with animal dehumanization,18,Not useful as question,unsafe,Harassment,S10,Personal insult
ইতিহাস সাক্ষি আছে ভারত কতবার চুদে খাল করেছে পাকিস্থান কে,Geopolitical,yes,Sexualized violent metaphor in geopolitical context,18,Not useful as question,unsafe,Hate speech,S8,National hostility
এগের না চুদে ভাত খাওয়া যাই,Personal,yes,Sexual vulgarity used as metaphor,18,Not useful as question,unsafe,Harassment,S10,Vulgar expression
যুদ্ধের সময় ভারতে যদি তোর বাবা মা না ঢুকতে পারত তাইলে তোর জন্মও হয়তো না  আবার ভাত খুঁজিস,Geopolitical,yes,Humiliating geopolitical argument with personal attack,18,Not useful as question,unsafe,Hate speech,S8,Historical humiliation
ঠিকই তো আমরা করতাম আর রেন্ডিয়া করতো সো জয় আমাদেরই হতো,Geopolitical,yes,Derogatory reference to a nation implying inferiority,18,Not useful as question,unsafe,Hate speech,S8,National insult
খানকির পোলারা হুশিয়ারি মারাও আগামী কাল বাছবি কিনা সেকতা বলতো পারনা,Personal,yes,Gendered insult with intimidation,18,Not useful as question,unsafe,Harassment,S10,Threatening insult
ভারত কাইকে একটাকার জিনিস দিতে বার ঢেকুর গিলে পাশাপাশি গুন লাভের হিসেব কশাকশি তো আছেই,Geopolitical,yes,Accusation of greed and exploitation against a nation,18,Not useful as question,unsafe,Hate speech,S8,Economic demonization
রাজাকার হলে রাজাকার হবে বাদ দিলে ভুল হবে দুনিয়ায় উৎসবের জায়গা ভুল করিলে মাসুল দিতে হবে কথা গুলি ঠিক,Political,yes,Political justification of punitive labeling,18,Not useful as question,unsafe,Political extremism,S6,Collective punishment rhetoric
এমন অ প্রিয় সত্য ইতিহাস তু লে ধরার জন্য অাপনা কে হয় রাজাকার নয় তো ভারত বি রোধী বা পা কিস্থানপ ন্থি উপা ধি বহন কর তে হ তে পা রে বলে ছি লেন বাঙ্গালী দের কেউ দাবায়া রাখ তে পা রে নি পার বেনা অাপনা দের মত অদম্য সাহসী দেরও কেউ দাবায়া রাখ তে পার বেনা ইনশাঅাল্লাহ্,Political,yes,Political polarization and martyrdom framing,18,Not useful as question,unsafe,Hate speech,S8,Political radicalization
ভারতের যারোঝ সন্তানদের কাজ থেকে আপনি বালো কিছু আশা করেন  কি  তা হলে আপনি অনেক বুকা মানুষ,Geopolitical,yes,Dehumanizing insult toward a nationality,18,Not useful as question,unsafe,Hate speech,S8,National dehumanization
বাংলা দেশ তো ভারতের কাছে বিক্রি করে দিতেছে তাই,Geopolitical,yes,Accusation of national betrayal,18,Not useful as question,unsafe,Hate speech,S8,Political-national accusation
মালউন ইন্ডিয়ারাই ফারাক্কার পানিতে ডুবে মরবে,Geopolitical,yes,Wish of mass death targeting a national group,18,Not useful as question,unsafe,Violence,S6,Genocidal rhetoric
ভারত আমাদের কোন ভাল মেনে নিতে পারে না অথচ আমাদের দেশের একধরনের রাজনীতিকরা নিজের দেশের ক্ষতি করেও ভারতের উপকার করে,Geopolitical,yes,Hostile geopolitical narrative accusing internal betrayal,18,Not useful as question,unsafe,Hate speech,S8,Political-national antagonism
নারায়ণগঞ্জ সিটি নির্বাচনে রাজাকারদের পক্ষে নয় মুক্তিযুদ্ধের পক্ষের শক্তিকে ভোট দিন,Political,yes,Political labeling and exclusionary rhetoric,18,Not useful as question,unsafe,Political extremism,S6,Delegitimization
আমার নয় এবার তোদের সময় কাছে এসে পড়েছে ভারতে যাওয়ার জন্য রেডি হয়ে যা কুত্তার বাচ্চা কাংকি হাসিনাকে বলেদিছ যেন কুত্তালীগের দালালদের কে বাংলাদেশ থেকে সাথে করে নিয়ে যায়,Political,yes,Threatening expulsion with abusive language,18,Not useful as question,unsafe,Threats,S6,Forced displacement
এদের কে রাজাকার উপাধি দেওয়া হক,Political,yes,Call for stigmatizing political labeling,18,Not useful as question,unsafe,Political extremism,S6,Collective labeling
নডির পোলা নাস্তিক তোর মারে বাপ,Religious,yes,Religious insult combined with personal abuse,18,Not useful as question,unsafe,Hate speech,S8,Religious insult
ভারতে মালাউন মারা যাওয়া বাংলাদেশে দিনের শোক দিবস পালন করা উচিত সরকারের,Religious,yes,Celebration or endorsement of death of a religious group,18,Not useful as question,unsafe,Violence,S6,Religious hatred
আওয়ামী মানে ভারতের চামচা   আর হাসিনা হল ভারতের বউ,Political,yes,Sexualized political insult and foreign subservience claim,18,Not useful as question,unsafe,Hate speech,S8,Political humiliation
২টারেই ফাকিং বিচ লাগতাসে  আর এই চোদনারা নাকি দেশরে রিপ্রেজেন্ট করছে,Gender abusive,yes,Gendered sexual insult toward representatives,18,Not useful as question,unsafe,Harassment,S10,Sexual insult
ভারত এটা করবে এটাই স্বাভাবিক  কারণ উনার জন্য অনেক বেধর্মী মুসলিম হচ্ছে,Geopolitical,yes,Religious blame framed as geopolitical motive,18,Not useful as question,unsafe,Hate speech,S8,Religious-political blame
মাসুমভাই ঐ ভারতীয় খানকির পুলাগোর লগে কোন ভাল ব্যবহার নাই মাগির পুতেরা ভালো ব্যবহার পাওয়ার যোগ্য নয়,Geopolitical,yes,Dehumanization of a national group using sexual slurs,18,Not useful as question,unsafe,Hate speech,S8,National dehumanization
এখানে যত মালাউন আছে সবার মা বোন দের পাকিস্তানিরা চোদে পাকিস্তান জিন্দাবাদ,Religious,yes,Explicit sexual violence rhetoric against religious group,18,Not useful as question,unsafe,Sexual violence,S7,Graphic sexual hate
এই পৃথিবীতে একটা মহাপাপ ধর্ম আঁছে তার নাম হলো আব্রাহামিক ধর্ম,Religious,yes,Denigration of a major religious category,18,Not useful as question,unsafe,Hate speech,S8,Religious dehumanization
জাতিরসংঘ কোনো কাপের কোনো মালাউনেরা কোনো ইহুদিরা মুসলমাদের ছাপট করবেনা,Religious,yes,Religious conspiracy narrative with dehumanization,18,Not useful as question,unsafe,Hate speech,S8,Religious conspiracy
মাদারচোদ ও আই সি কি করছে  মুসলিম দেশগুলোর সংস্হার কাজ কি তারা মায়ানমার কে কেনো চাপ দিচ্ছে না সবচেয়ে দূঃখজনক হলো এই বিষয়ে আমাদের দেশের সরকারের নিরাবতা অথচ ভারতের ট্রেন দুঘ্টনায় আমাদের সরকার প্রধান বিবৃতি দিলো কি আজব,Geopolitical,yes,Aggressive political rant with insult,18,Not useful as question,unsafe,Hate speech,S8,Political hostility
আরে মন্ত্রী সাহেব বাংলাদেশ তো ভারতের পাশেই আছে এই কথাটা কোঠি মানুষই যানে,Geopolitical,no,Neutral geopolitical statement,18,Not useful as question,safe,Geopolitical opinion,S2,Neutral statement
এই তিন সালারা খারাপ মাদারচুদ না হয় মায়ানমার এ মুসলিম জবাই করে এই খানকির পুলারা কোনো কথা বলেনা সালারা মুসলিম হয় কিভাবে,Gender abusive,yes,Gendered slur combined with religious delegitimization,18,Not useful as question,unsafe,Hate speech,S8,Religious dehumanization
দেখে মনে হচ্ছে চুরি করতে গিয়ে ধরা খাওয়ায় বাশের বাড়ি খেয়েছ,Personal,yes,Personal humiliation implying physical punishment,18,Not useful as question,unsafe,Harassment,S10,Personal insult
বাঙালী হিন্দুরা খায় বাংলাদেশে র দালালী করে রেন্ডিয়ার,Geopolitical,yes,Ethno-religious stereotyping with national betrayal claim,18,Not useful as question,unsafe,Hate speech,S8,Ethno-national hatred
রাজাকাররা সবসময় রাজাকার থাকে এই পাকিস্তান কখনও বাংলাদেশের ভাল চায় না,Political,yes,Collective political demonization,18,Not useful as question,unsafe,Political extremism,S6,Collective blame
আসলে খানকি  ছি ছি,Gender abusive,yes,Short-form misogynistic slur,18,Not useful as question,unsafe,Harassment,S10,Gendered insult
অনিল দাস দাদা আপনার প্রোফাইল পিক টা দেখে মনে হয় না আপনার ভেতরে সামান্য তম ভদ্রতা আছে  খুব খারাপ লাগছে এ যদি এক টা দেশের প্রতি আপনার দৃষটি ভংগি এমন হয় তাহ লে একটা মানুষ এর প্রতি আপনার কত খানি ভালবাসা আছে  বহু কষটে পাওয়া এ পতাকা  আপনার এ ছবি টা দেখে কি মনে হয় জানেন পাকিস্তানি জারজ দের সাথে আপনি কম জান না  তোকে পেলে কুত্তার মত মারতাম  খানকির ছেলে এত সা্হস কি করে হয়,Gender abusive,yes,Threat of violence with sexualized insult,18,Not useful as question,unsafe,Violence,S6,Personal threat
কারণ এর যুদ্ধ হয়েছিল ভারত আর পাকিস্তানের মধ্যে ভারতীয়দের ভাষায় বাংলাদেশ দেশটা ভারতের দেওয়া উপহার মাত্র,Geopolitical,yes,Delegitimization of national sovereignty,18,Not useful as question,unsafe,Hate speech,S8,National erasure
ভারতের মালাউনরা কোন দিন পাকিস্তান এর সাথে পারবে না   কারন পাকিস্তানিরা খায় গরুর মাংস আর মালাউনরা খায় গরুর মূত্র,Geopolitical,yes,Religious-national dehumanization,18,Not useful as question,unsafe,Hate speech,S8,Religious stereotyping
উ উ ওইযে দেখলাম তো জামালপুরে রাজাকারের বাচ্চারে মনোনয়ন দিছে,Political,yes,Political insult via familial association,18,Not useful as question,unsafe,Political extremism,S6,Delegitimization
