sentence,target,type,hate speech,sentence_length
#গেবনের শেষে আইসা আপনার মুখোশ টা খুলছে এতেই আমি মহাখুশী ✌✌আপনি তো হ র হ র করে বমি করবেন নাকি আমাদের দেখলে� আমরা না হয় মূত্রত্যাগেই আপনাকে দিব #গু দক্ষিনা,ind,callToViolence,1,30
১৮ কোটির চোদা খাওয়া শেষে এখন ১৫০কোটির চোদা খাবে মিথিলা,female,callToViolence,1,10
অই কখানকি সত্যি বলতে কি জানছ তরে জুদি পাইতাম তর বোদার মধ্যে খারাইয়া মুত্তাম,female,callToViolence,1,14
অই জারছি পরা লোক টা কে পাইলে কোত্তার মতো পিটাইতাম,ind,callToViolence,1,10
অগুনে পুড়িয়ে মারা হওক যাতে আর কেউ এমনটা করার সাহস না পায়,ind,callToViolence,1,12
অনেক দিন ধরেই অপেক্ষা করতেছিলাম এই ভন্ডটারে ধইরা কেউ লেংটা করুক আলহামদুলিল্লাহ ধন্যবাদ ভাই���,ind,callToViolence,1,14
অ‌নেক ভাই ক‌রে‌ছেন যে লোপাকে চুদ‌তে চাই তা‌দের কে বলব ও‌কে চ‌ু‌দে হোল নষ্ট করা যা‌বে না ভাই,female,callToViolence,1,18
অপু আদরের ছেলেকে বাবার মত ইসলাম ধর্ম গ্রহণ করতে বারন করোনা তা নাহলে চির জাহান্নামি তোমার আদরের ছেলে,male,callToViolence,1,18
অপু উকিল তুই তো ভোট চোর তোর মুখে লাথি মারী ।,female,callToViolence,1,11
অপুর অপরাত সে তার পায়ের জুতো খুলে কেন শাকিবকে পিটালো না এটাই ছিলো অপুর অপরাত,female,callToViolence,1,15
অর মত ছেলে জন্ম নেয়ার আগে মুখে লবন দিয়া কেউ মারে নাই কেন,ind,callToViolence,1,13
অরে টা জোতোর বাড়ি দেয়াহোক ভিড়িও দারন কারীকে ধন্যবাদ দেয়া হোক,ind,callToViolence,1,11
অরে হাতের সামনে পাইলে নিজ হাতে জবাই করতাম এমন কুলাঙ্গার সন্তানের বেচে থাকার কোন অধিকার নেই অর যথাযথ শাস্তির ব্যাবস্থা করা হোক প্রশাশনের কাছে আমার একটা দাবি জারা একমত তারা সারা দিন,ind,callToViolence,1,32
অামি যদি একবার পাইতাম ওরে জুতার বাড়ি দিতে দিতে মাইরা লাইতাম।,ind,callToViolence,1,11
অাল্লাহ এই ধরনের ছেলেদের তুমি তোমার কুদরতি হাত দ্বারা ধ্বংস করে দাও,group,callToViolence,1,12
আওয়ামিলীগ সন্তারাসেরাই দেশটি শেসে করেছ হাসিনাকে মারতে হবে তারপর দেশ টিক হবে,group,callToViolence,1,12
আগারওয়ালের মারে চুদের।সাকিব তো এমন জায়গায় নামেনা যেখানে খেলা পরিবর্তন করা সম্ভব।সব বিসিবি এর কারসাজি।,ind,callToViolence,1,15
আগে এই পাষন্ড টাকে গুছিয়ে প্যাঁদানি দিয়ে কতধানে কতচাল বুঝানো দরকার,ind,callToViolence,1,11
আগে একবার বিয়ে হওয়া প্রেম করা এগুলো কি খুনের চেয়েও বড় অপরাধ !? যদি তাই না হয় তাহলে যারা প্রকাশ্যে কুপিয়ে হত্যা করল তাদেরকে ছেড়ে যারা রিফাতের স্ত্রির চারিত্রিক সনদ নিয়ে গবেষনায় লিপ্ত আছেন তারা কি পানি গোলা করে খুনীদেরকে বাঁচানোর পথ তৈরি করে দিচ্ছেন না তো ?? ভেবে দেখবেন !? ⬇ যারা কুপিয়ে হত্যা করল আগে তাদেরকে জনসম্মুখে শিরচ্ছেদ করা হোক তারপর অন্য কেউ জড়িত থাকলে তার বিচার করা হোক,group,callToViolence,1,71
আগে বৌয়ের বিচার করা দরকার তারপরে ছেলেকে ফাশির দড়িতে ঝুলিয়ে মারা দরকার,male_female,callToViolence,1,12
"আচ্ছা ভন্ডু, তুমি মরলে তোমার দালালগুলো কি আফসোস করবে, নাকি তোমার হোগায় কান্তাওয়ালা আছোলা বাঁশ ভরবে গুনে গুনে।",ind,callToViolence,1,18
আপনার বাশ খাওয়া খুব শখ জাগছে তাইনা? চুপচাপ ছিলেন এটাইতো ভালো ছিল। এবার লন ঠেলা।,ind,callToViolence,1,15
আপনার সব কথা ঠিক আছেকিন্তু নামাজ নিয়ে খারাপ কথা আপনি কেনো জদি শেখ হাসিনা ও কিছু বলে সে খেত্রে তাকেও ঘার ধাক্কা দিয়ে ইন্ডিয়া ছুরে ফেলবো,ind,callToViolence,1,26
আপনারা কি করলেন ওকে গণধোলাই দিতেন তার পরে থানা পুলিশ করতেন,ind,callToViolence,1,11
আপনারা ক্যামেরার সামনে ছেলেকে জুতার বারি দিলেন না কেনওরে ছাড়বেন নাওর ক্ষমা নাই,ind,callToViolence,1,13
আপনি ১৯ বছরের তরুণ হয়ে মুক্তিযুদ্ধকালীন সময়ে মহান মুক্তিযুদ্ধে অংশ নেন নি এবং মহামুল্যবান জীবন রক্ষা করার জন্য পালিয়ে বেড়িয়েছেন। আর এখন আমাদের চেতনা শেখাচ্ছেন!!!!! আপনার চেতনা আপনার *** দিয়ে ঢুকিয়ে দেওয়া উচিত।,ind,callToViolence,1,33
আপনি নামাজকে কেনো গালাগালি দিলেন এখন সময় আছে ভালো হয়ে যান আপনাকে হাতের কাছে পাইলে কিজে হতো,ind,callToViolence,1,17
আপনি মেয়ে হয়ে কি ভাবে এগুলো বলেন ছি ছি আপনাকে জুতা পিটিয়ে সজা করা দরকার,ind,callToViolence,1,15
