text,vulgar,hate,religious,threat,troll,Insult
“তুমি তো পাক্কা ব্যবসায়ীর মত কথা বলছ... আসলে পালা গরু? নাকি তুমি খুফিয়া ব্যাপারী?”,0,0,0,0,0,0
“সুতরাং মা আজকে শিখলাম মাথা খাটাতে হবে... ভাবতে হবে... তাহলেই তুমি জীবনে পারবে”,0,0,0,0,0,0
"আমি দুই গাড়ির উপর হাত রেখেই বললাম, “একটা গাড়ি হলেই হবে... নম্বর এটা দিতে পারবেন নাকি বলেন...”",0,0,0,0,0,0
"না সিরিয়াসলি, হিমালয় থেকে সিল্কের পাঞ্জাবী পরে হয়তো না... বাট আমার আপনার মতই প্যান্ট টিশার্ট পরে আন্ডার-কাভারে থাকা কিছু পরিষ্কার বাবার গল্প শুনবেন?",0,0,0,0,0,0
"এত বড় দুধ হতেই পারে না, নিশ্চয়ই কারো হাত আছে",1,0,0,0,0,0
"“এক সময় কনসেপ্ট ছিল, কান্ট্রি ব্র্যান্ডিং এর... যেমন ইঙ্ক্রেডেবল ইন্ডিয়া, এমেজিং থাইল্যান্ড... তারপর ট্রেন্ড আসলো; স্টেট/রিজিওনাল ব্র্যান্ডিং, যেমন রাজস্থান, গুজরাট নিয়ে করা হলো। আপনারা মিরপুরের ছেলেপেলে... আপনারা যদি মিরপুর ব্র্যান্ডিং না শুরু করেন তাহলে কারা করবে?”",0,0,0,0,0,0
"তোকে এইসব বাকচোদ গিরি কে করতে বলেছে শুয়োরের বাচ্চা?ওরাতো তোকে বিরক্ত করেনি,  তাহলে তোর চুলকানি কেন?",1,0,0,0,0,1
"এত আবেগ কিনিস না। পরে এই আবেগ বেলুনে ভরে তোর ওই হোগায় হান্দায়া দেব। পরে, আবেগের ঠাপে আকাশে বাতাসে উড়বি আর ভাসবি আর আমাকে অপরাধী ভাববি।",1,0,0,0,0,1
"নেপালের মতো, আজ আমার দেশে যদি একই মাত্রার ভূমিকম্প হয়, আমরা সবাই জানি দেশের কি অবস্থা হবে",0,0,0,0,0,0
৫৩ মিনিটে অনেক কিছু বুঝেছিজীবনের প্রতিটি ধাপ অনুভব করেছিনাটকটা দেখার পর আমাদের নিয়ে আব্বু আম্মুর অনুভুতিগুলো বুঝতে পারছিবাকরুদ্ধ করা একটা নাটক ছিলো সত্যি চুপ হয়ে গেছিসব দিক দিয়েই অসাধারণ একটা নাটক ছিলো এটি,0,0,0,0,0,0
নাস্তিক রা এমনি ওরা বলার সুযোগ দেয়না ওদের এইটা বাল মার্কা জ্ঞান আল্লাহর ক্ষুদ্রত আল্লাহর ক্ষমতা অসীম বলা হয়েছে সয়ং আল্লাহ কেমন সেইটা কেউ জানে না,0,0,1,0,0,0
দারুন লাগলোমোবাইল নিয়া ওয়াস রোমেতাও ভিডিও কলেসেই মামা সেই লাগছে,0,0,0,0,0,0
অপুর্ব ভাইয়ার নাটক আসলেই অসাধারনযতই দেখি ততই আরো ইমোশনালে ডুবে থাকিখুব ভালো লাগে ভাইয়ার নাটক,0,0,0,0,0,0
হে মেডাম  আপনি  তো ৯০ ভাগ মুসলমানদের দেশের মুসলমানদেরই ছাপর্ট দেন্না,0,0,1,0,0,0
তুরাগ পাড়ে এসে মোতালেব সাহেবের চোখ জুড়িয়ে গেলো... চারিদিকে সাদা আর সাদা... এখনই আখেরি মোনাজাত শুরু হবে হবে,0,0,0,0,0,0
"একমাত্র এই আবালদের কারণেই মুসলিমরা আজ যেখানে সেখানে মার খাচ্ছে,তবে আল্লাহর বিচার একদিন হবেই হবে এবং মুসলিমরাই জিতবে ইনশাআল্লাহ",0,0,1,0,0,0
বাস্তব জীবনের সতিকারের কিছু কাহিনী নাটকটিতে দেখানো হয়েছেখুব ভালো লাগল,0,0,0,0,0,0
কেন এই রোগ আসলো? কেন মশা দমনে ভুমিকা আগে তারা নেয়নি? স্বাস্থ্যমন্ত্রী কোর্টে ধর্না দিতে দিয়ে শেষ হয়ে যেতেন...পরিবেশমন্ত্রীর গদি নড়ে উঠত... মেয়রের ঘুম হারাম হয়ে যেত,0,0,0,0,0,0
পূজার ধর্ষকের ফাসি চাই সকল নারী নির্যাতনের বিচার চাই সংখ্যালঘুদের উপর ধর্ম অবমাননার মিথ্যা গুজব রটিয়ে নির্যাতনের সঠিক বিচার চাই। হিন্দুদের নিরাপত্তা চাই। উগ্র মৌলবাদ বন্ধের দাবি জানাই যারা বাংলাদেশের সাম্প্রদায়িক দাঙ্গা লাগিয়েছে সেই সকল মুসলমানদের বিচার ও ফাসি চাই।,0,0,1,0,0,0
খুব সুন্দর নাটগ আমার দেখা সেরা তানজিনা তিশাকে হিজাবে খুব সুন্দর লাগছিলনগ্ন পোসাকে নয়হিজাবেও সুন্দর নাটগ হয়,0,0,0,0,0,0
একই গ্রন্থাগারে গীতা আর কোরান এক সাথে থাকে ... নিজেদের মাঝে কখনোই লড়াই করে না... যারা এদের নিয়ে লড়াই করে তারা গীতা আর কোরান কোনদিনও পড়ে না,0,0,0,0,0,0
আচচা আরিয়ান ভাই আমি আপনার সব নাটক দেখি বিশেষ করে অপূব ভাই এর ভালবাসা টা অ পৃন রাখেন কেনবেচেরা কে দেবদাস বানিয়ে দিবেন বদয়,0,0,0,0,0,0
এতো সুন্দর ভাবে উপস্থাপন করা নাটক এই প্রথম দেখলামবেশি ভালো লেগেছে নামাজের দিক টি তুলে ধরার জন্য,0,0,0,0,0,0
"গজগজ করতে করতে মোতালেব সাহেব বাসায় গলি থেকে রামপুরার রাস্তায় উঠেই দেখলেন, দুইদিকের রাস্তা ধরেই গাড়ি-ভ্যান-রিকশা-বাস সব একদিকে যাচ্ছে",0,0,0,0,0,0
নাটকের পরিচালক ভাইনাটকটা অসাদারন এরকম আরোআরো ভালো নাটক দেখতে চাই ভালো অভিনয় করার জন্য নিসোভাই তানজিন তিসা আর পরো টিমকে ধন্যবাদ,0,0,0,0,0,0
এত্ত এত্ত সুন্দর নাটক থাকতে আমাদের দেশের মহিলারা সিরিয়াল দেখে কি করেআমি অবাক হয়ে যাই অসাধারণ হয়েছে নাটকটা যাস্ট বলার ভাষা নেই,0,0,0,0,0,0
"সাফা ধর্মের মাইরো না আর চাপা,,,,, বাংগালী চেইতা আছে কখন জানি খাইবা ঠাপা",1,0,1,1,0,0
বাস্তবধর্মী একটা নাটকযারা দেখবে তাদের চোখের কোণে এক ফোটা পানি আসতেই হবে সমাজ কে বদলানোর জন্য এমন নাটক দরকারশুধু নাটক এ কাজ হবে নাবদলাতে হবে আমাদের নিজের মানসিকতা কে তা হলে গড়ে উঠবে সূখী সুন্দর পরিবারসমাজ,0,0,0,0,0,0
"পহেলা বৈশাখ পালনে ঈমান নষ্ট হয় না যে দেশে ইনুর মত মাওলানা থাকে, সেই দেশে শয়তানের দরকার নাই",0,0,1,0,0,0
কবির সিং মুভির মতো লাগলো শেষটা ভালো ছিল ধন্যবাদ সবাইকে এত সুন্দর নাটক উপহার দেওয়ার জন্য,0,0,0,0,0,0
খানকির আগের চেহারা দেখে অন্য ভিক্ষুকদের থেকে তোকে খারাপ দেখাতো অন্য ভিক্ষুক রা তোর কাছে আসতো না সেটা বল,1,0,0,0,0,1
অনেক দারুন লেগেছে কি বলবো এক কথায় অসাধারণ খুব কম নাটক আছে প্রথম থেকে শেষ পর্যন্ত হাসলাম অনেক বিনোদন পেলাম তার ভেতরে এই একটা নাটক শামীম ভাই আপনি জীবন্ত বাস্তবতা ফুটিয়ে তোলেন আই লাভ ইউ ভাই সবকিছু ভালো ছিল✔,0,0,0,0,0,0
এত্ত পরিপক্ব অভিনেতা অভিনেত্রী এরা দুইজন যত দেখি দেখতেই ইচ্ছা হয় আমি সাজ্জাদ আর তিশার প্রায় সব কয়টা নাটক দেখে ফেলছি এখন মনে হয় ৩৪টা বাকি আছে শেষ করে ফেলব তবে হ্যা এটা বেস্ট ওয়ান,0,0,0,0,0,0
নাটকটা জস হইসেআমি দেকে অবাকঅপুর্ব আর মেহেযেবিন থাকলে নাটক হিট হবেইআর ভাল নাটক চাই,0,0,0,0,0,0
তোর প্রোফাইল পিকের ছবি প্রমান করে তুই একটা কুত্তার ঘরে জন্ম নিয়েছিস এই জন্যই এই রকম জানোয়ারের মতো চেহারা তোর । শালা মালাউনের বাচ্চা মালাউন হিন্দু বেজন্মা ।,0,0,1,0,0,0
কাহিনীটা লাস্টে এমন হবে বুঝতে পারিনি জাস্ট এমন নাটক দর্শক আরো চায়অসাধারণ ছিলো নিশোতিশার অভিনয়,0,0,0,0,0,0
আফরান নিশো নাটক মানে অসাধারণ এবং অনেক কিছু শেখার আছে,0,0,0,0,0,0
বাংলিশের সোদনে পোস্টটা পডতে গিয়ে দাত ভেংগে গেলো।শ্লা শুয়োর তোমাকে কে বলসে বাংলিশ দুচাইতে।ভাষা শহীদের অর্জনটাই ম্লান করে দিলি।আজকে যদি পাকিরা এই পোস্টটা দেখতো তাহলে ভাষা শহীদের গুলি করার আগে তোকে করে দিত,1,0,0,0,0,1
যেগুলো দেখে হয়তো কোনও ভিনদেশীরা দুই হাতে গাল ধরে বলবে... ওয়াও কি জোস স্টার্ট আপ ... এমেইজিং,0,0,0,0,0,0
বাংলা নাটক গুলা এত সুন্দর কেন যা বলার বাইরে এমন নাটক ডেলি দুইবার দেখলেও মন ভরে না সুপার,0,0,0,0,0,0
তোমার চামরা গোটানোর দরকার শালা ভিডিও করো তোর মার মতোই রে ওই মহিলা,0,1,0,0,0,0
"মধ্যবিত্তরা বেশি বিপদে আছে, না পারবে না খেয়ে থাকতে না পারবে সাহায্য নিতে।",0,0,0,0,0,0
দেশের মুক্তিযোদ্ধারা না খেয়ে দিন কাটায় আর ভারতের জন্য লাখ লাখ টাকা বাজেট করে এই হলো মুক্তিযুদ্ধের চেতনা ব্যবসা,0,1,0,0,0,0
"আমি জানি আমার গাড়িতে আপনি কিছু খুঁজে পাবেন না ... আর ‘আমি মেজর’, মিথ্যা বলার কারণেও কোনও স্ট্রং কেইস দাড়া করাতে পারবেন না কোর্টে কারণ দেশে মিথ্যে বলার কোনও আইন নাই",0,0,0,0,0,0
"আমেরিকার আরেক বিজ্ঞানী, এটাকে পাল্লা দিয়ে আরেকটা রোবট বানিয়েছে, সে আপনার মাথা টিপে দিবে, চুলে বিলি কেটে দিবে ... প্লাস আপনি ঘুমিয়ে গেলে, সে উঠে যেয়ে আপনার কাপড়ও কেচে দিবে জেট দিয়ে",0,0,0,0,0,0
"হিমেসের মত ফালতু সিংগার এর সাথে ২ লাইন গেয়ে নিজেকে অনেক ৰড় ভাৰছে,",0,0,0,0,0,1
অনেক অনেক অনেক সুন্দর নাটক৷১ ধর্ম২ বন্ধুত্ব৩ ভালোবাসা৪ নিজের জীবন নিয়ে সচেতনতাসব একসাথে খুব সুন্দর করে ফুটিয়ে তোলা হইছে৷ অসাধারন নাটক৷,0,0,0,0,0,0
"ডক্টর নুসরাত জামান ওটির দরজা খুলে মুখ বের করে বললেন, “রোগীর হাজবেন্ড কে?”",0,0,0,0,0,0
"কাটমোল্লাদের তাদের ধর্ম ব্যবসায় বন্ধ হয়ে গেছে,তাই তার উপর খুব রাগ, আরে ভাই সত্য চিরন্তর, মিথ্যা সাময়িক",0,0,1,0,0,0
“স্যার এটা সর্বশেষ টেস্ট ... এখন বাম পায়ে আলতো করে চিমটি কেটে দেখতে হবে... অনেক গরুর বাম পায়ে চিমটি কাটলে ডান পায়ে লাথি দেয়... এই লক্ষনের মানে হইলো আউলা গরু... মানুষিক ভারসম্য নাই... এটা নেওন যাইব না’,0,0,0,0,0,0
কিছু মালাউন উসকানি মুলুক কথা বলেছে আর কিছু মুসলমান নাম দারি মুসলমান দের আপন ভাবে না তারা মরে যাক তাতে কি আসে যায় তাদের ভাব দারা এমনি মনে হয়,0,0,1,0,0,0
"ভুস্কি মাগীর পুচকি পোলা,
ফোন দিয়া নেয় ভাব,
পুক্কি মেরে ঝুলিয়ে তোকে
টিপতে হবে ডাব।",1,0,0,0,1,0
"সুমন আজকে ফাইসে গেছে একদম।ও কোনো একটা উদাহরণ ও দিতে পারে নাই।সুমন একটা বাটপার, ক্ষমতার লোভে ও এখন যুবলীগে দৌড়াইছে।",0,1,0,0,0,0
"আপনি বাড্ডায় থাকেন, এই মুহূর্তে আপনার একজন ইলেক্ট্রিশিয়ান লাগবে? পেয়ে যাবেন... আপনি উত্তরায় থাকেন এই মুহূর্তে প্লাম্বার লাগবে? পেয়ে যাবেন",0,0,0,0,0,0
ভারত একটি এতো বড় দেশ তারপরও তারা সবসময় সবদিক থেকেই পিছে থাকে এবং থাকবে এটাই সঠিক,0,1,0,0,0,0
দিন যতোই যাচ্ছে বৃন্দাবন স্যারের কাজ গুলো আরো ধারালো হচ্ছেবাংলাদেশের নাটক গুলো বাচিয়ে রাখার মদ্ধে যে মানুষ গুলো একাধারে কাজ করে যাচ্ছেন তাদের মদ্ধে বৃন্দাবন স্যার একজন স্যালুট স্যার,0,0,0,0,0,0
নাটকের লাস্ট পার্ট টা দেখে আমার চোখের পানি চলে আসছে সত্যি খুব ভালো হয়েছে সবার অভিনয় টা একদম সসত্যিকারের মতো মনে হয়েছিলো,0,0,0,0,0,0
আগুনে পুড়িয়ে মারার অপরাধী কে বাঁচানোর জন্য ধামাচাপা নতুন গল্পের সৃষ্টি পাত।,0,0,0,1,0,0
জীবন টা হয়তো এমনইশিক্ষিত বানিয়েছে মা আরশিক্ষিত স্বামী পেল বউআর শিক্ষিত ছেলে পেল না মাএখনকার কোন মাই বলতে পারবেন না যে তাদের সন্তান মানুষ করে তাদের কোন লাভ হয়েছে,0,0,0,0,0,0
"একটা সময় আসছে, যখন বন্ধুদের সার্কেলে আঙুল তুলে বলা হচ্ছে, “এই রাজিব আর সজীব না ভেন্দা... এই ২টা ছাড়া আমাদের সার্কেলের বাকি সবাই কোনও না কোনও ভলান্টারি কাজ করে”",0,0,0,0,0,0
জাতিসংঘ না কি শয়তানের সংঘ।ঐ বেটা কুত্তা আইং সাং সুচিংকে ফাসিতে ঝোলাতে হবে।,0,1,0,0,0,0
দেখে মনে হচ্ছে চুরি করতে গিয়ে ধরা খাওয়ায় বাশের বাড়ি খেয়েছ।,0,0,0,0,1,0
"আল্লাহ্ একটা বিরাট শিশু,নাবালক!নজরুল তো বলেছে- খেলিছো এ' বিশ্ব লয়ে বিরাট শিশু আনমনে...",0,0,1,0,0,0
পাগলি চুদির মাথায় মনে হয় ছিট আছে এই নাকি সুন্দরীবালের সুন্দরী ভগবান ঢেমন দের কপালেই ভালো জোটায় আর ভালো দের কপালেই ঢেমন জোটায়,1,0,0,0,0,0
খুশি আপা হচ্ছে আমাদের যুগের শাবানা খুশি আপা অনেক গুণী অভিনেত্রী,0,0,0,0,0,0
তারেক চোরাকে দেশে ফিরানোর মত জোড় এখন স্বাধীনতা বিরোধী রাজাকারদের আছে বলেতো মনে হয় না কারণ দেশের মানুষের কাছে তাদের মুখোশতো খুলে গেছে যে তার বাপ ছিল পাকিদের বাংলাদেশী এজেন্ট,0,1,0,0,0,0
আরিয়ান ভাইয়ের নাটক গুলোর যার যার কেরেক্টার গুলাও খুব ভালো ভালে প্লে করে তার পরিচালনা ও অসাধারণ,0,0,0,0,0,0
"আমার জীবনের প্রথম ইন্টার্ভিউয়ের দিন আমাকে জিজ্ঞেস করেছিল, আচ্ছা বলো তো একটা প্রোডাক্টের জন্য মনে করো ২ টা অফার ডিজাইন করা হলো; “বাই ওয়ান গেট ওয়ান ফ্রি” আর “৫০% ছাড়”",0,0,0,0,0,0
১৩ ডা বউ দিয়া হয় না ক্রীতদাস বানায় যুদ্ধবন্ধীদের এরপর তাদের ভোগ করার জন্য আবার আয়াত নাযিল করে।,0,0,1,0,0,0
"মান্দার পো মান্দা। অফিস বন্ধ, চাইছিলাম একটু ঘুমাইতে। শুইয়া শুইয়া মোবাইল গুতাইতে গুতাইতে তোর বানঞ্চুদ মার্কা ছবি সামনে আইসা পরছে। তর খোমা দেইখা ঘুম যে কই পালাইছে,,,,বাইঞ্চুদ আর সময় পাইছিলি না ছবি আপ করার??",1,0,0,0,0,1
"আল্লাহ তায়ালা মাগীর দালালী করবে তোদের জন্য ।তোদের নবী থাকবে বেহেশত এর উকিল,মানে মাগী পক্ষের আইনজীবী যতসব পাগলা কথা।",1,0,1,0,0,1
"বাইঞ্চুদের চেহরা দেখছ।
তরে তো দেইখা মনে হইতাছে হোগার মিদ্রে অঝোরা বাশ দেয়ার পর খিচ মাইরা হাসনের ট্রাই করতাছস।",1,0,0,0,0,1
অসম্ভব ভাল লেগেছে গল্পটাধন্যবাদ আরিয়ান ভাই আর অপূর্ব ভাই ত বসসসসস + মিথিলা +অপর্ণা আপুএই চার জনই আমার খুব প্রিয়ধন্যবাদ সাইকেলাভ ইউ অললললল,0,0,0,0,0,0
যদি নাটক টা শেষ না হতোযে কোনো কিছুই সামনের মানুষদের মন ছুঁয়ে দিলে সেটা নির্ঘাত অসাধারণ এইটা সেরকইআমি ভাগ্যবান আমার সময়ে আপনার মতো একজন পরিচালক আছে এবং বেস্ট জুটি পেয়েছি সত্যি আপনারা জাদুকর ধন্যবাদ আপনাদের,0,0,0,0,0,0
