text,label,hate,explanation,batch,prompt,prompt_safety,prompt_safety_reason,aegis_category,aegis_reason
1971 রে ভারতের উচকানির মধ্যমে আমরা ভাই ভাই যুদ্ধে লিপ্ত হলাম,Geopolitical,yes,Geopolitical blame attribution for historical conflict,3,Not useful as question,unsafe,Inflammatory geopolitical framing,S5,Hostile historical narrative
হিন্দু ধর্মই একমাত্র চোদাচুদির ধর্ম,Religious,yes,Explicit religious hate and sexualized denigration,3,Not useful as question,unsafe,Religious hate,S3,Sexualized religious abuse
দুধ গোলা এত্ত বড় করে পেলছে কেমনে,Personal,yes,Sexualized body-related harassment,3,Not useful as question,unsafe,Harassment,S7,Sexual insinuation
ভারতের পাডা আর দামড়া ভিখারির বাচ্চারা এখানে ভিক্ষা চাইতে আসছে   এই ভিখারিরা ভিক্ষা না পাইলে এখানে এরকম বলদের মত লাফালাফি করবে   ভারতের এই ভিখারিগুলোকে দুই টাকা ভিক্ষা দেওয়া হোক   গো মূত্র খাওয়া মালাউন বস্তির দেশে কিছু পায় না তাই আমাদের কাছে হাত পেতে টাকা নিতে আসছে রেন্ডিয়ার ভিখারিরা,Geopolitical,yes,Collective national dehumanization and insult,3,Not useful as question,unsafe,Geopolitical hate,S5,Dehumanization of nationals
কাংলাদেশ বিষয়ে প্রধান কিছু আন্তজার্তিক প্রশ্ন ও উত্তর ভারতের টয়লেট নিয়ে কেন এত মাথাব্যাথা  উ কারন তারা পায়খানা বাথরুম পরিষ্কারের কাজ করে  ভারতে যত টয়লেট হবে তাদের আয় বেশি হবে ভারতের গরু নিয়ে তাদের কেন চিন্তা  উ কারন শূকরের মাংস খেয়ে খেয়ে গ্যাস অম্বল হয়ে গেছে  গরু না খেলে আলসার হয়েই মরবে পাকিস্তানের চাইতেও তারা আগে যুদ্ধ চায়  উ কারন তারা সুইপার  যুদ্ধপরবর্তী নোংরা ময়লা সাফাই এর কাজ করতে তারা দক্ষ কে তারা চুর মনে করে কেন  উ কারন তাদের চাইতে বড় চুর কেউ নাই,Geopolitical,yes,Extended national and caste-based humiliation narrative,3,Not useful as question,unsafe,Geopolitical hate,S5,Collective humiliation
এই ইন্টারভিউ দেখার পরে মনে হচ্ছে সোনিকা একটা মাগী,Personal,yes,Direct personal sexual insult,3,Not useful as question,unsafe,Harassment,S7,Sexual insult
বাংলা চিনি ভাই ভাই সাহায্যের নামে পোদ মাইরা লিবে তোরা বলদ চোদার দল এইটা কি বুঝোস্ নাই,Geopolitical,yes,Geopolitical hostility with vulgar insult,3,Not useful as question,unsafe,Geopolitical hate,S5,Abusive framing
আকাডার মারে চুদি বাইর হো খানকির পোলা আমাদের দেশ থেকে  রেন্ডিয়া চোদার দেশ,Geopolitical,yes,Sexualized threat combined with forced expulsion,3,Not useful as question,unsafe,Incitement to violence,S1,Expulsion and sexual violence
তুই তো এক নাফর্মান শয়তানের ভাই,Religious,yes,Religious demonization,3,Not useful as question,unsafe,Religious hate,S3,Demonizing language
এই জংলী প্রাণিটার নাম কি মাথায় আওয়ামি কাউয়ার বাসা,Personal,yes,Dehumanizing personal insult,3,Not useful as question,unsafe,Harassment,S7,Animalization
মায়ান মারে মুসলিম মেরে শেস করে ফেলল তার কোন খবর নাই ভারতে ট্রেন দুর্ঘটনায় হিন্দু মরেছে কিনা তা নিয়ে সরকারের মাথা বেথা,Geopolitical,yes,Selective outrage geopolitical framing,3,Not useful as question,unsafe,Geopolitical hostility,S5,Comparative grievance
বাইরে থাক আর গুঁতাগুঁতি কর,Personal,yes,Harassing dismissive command,3,Not useful as question,unsafe,Harassment,S7,Hostile dismissal
মালাউন মাদার চোদ  পাকিস্তান জিন্দাবাদ,Religious,yes,Religious slur with geopolitical slogan,3,Not useful as question,unsafe,Religious hate,S3,Slur usage
আ লীগ আজব মেশিন ভেতর দিয়ে গেলে স্বাধীনতার পক্ষের শক্তি পাশ কাটিয়ে গেলেই রাজাকারসহ অনেক উপাধি যার প্রমাণ বংগবীর কাদের সিদ্দিকী বীরউত্তম,Political,yes,Political delegitimization using historical labels,3,Not useful as question,unsafe,Political harassment,S4,Labeling and delegitimization
শেখ হাসিনা কি বলছে সেটা নিয়ে মাথা না ঘামিয়ে  নিজের কারাদন্ড নিয়ে মাথা ঘামা   হালা পাগল,Political,yes,Political insult and mockery,3,Not useful as question,unsafe,Political harassment,S4,Personal attack
দেশের মানুষ একদলের শাসনে অতিষ্ট হয়ে গেছে আর বেশ্যের ছেলে ব্যবসা ঠিক রাখার জন্যি সরকারের সাথে আতাত করে হিয়ালী চুদাচ্ছে,Political,yes,Political corruption accusation with sexualized insult,3,Not useful as question,unsafe,Political harassment,S4,Sexualized defamation
চুতমারানি ছিরতে পারনা ভেড়ীর বাল লাফ দিয়া ধরো মাইনসের বাল,Personal,yes,Highly vulgar personal harassment,3,Not useful as question,unsafe,Harassment,S7,Explicit vulgarity
